,8,,,635,99999
,10,,,636,99999
,12,,,637,99999
,15,,,638,99999
,18,,,639,99999
,21,,,640,99999
45,5,40,N,620,99999
,8,,,621,99999
,10,,,622,99999
,12,,,623,99999
,15,,,624,99999
,18,,,625,99999
,21,,,626,99999
15,5,20,BB,208,99999
,8,,,209,99999
,10,,,210,99999
,12,,,211,99999
,15,,,212,99999
,18,,,213,99999
,21,,,214,99999
16,5,20,BB,215,99999
,8,,,216,99999
,10,,,217,99999
,12,,,218,99999
,15,,,219,99999
,18,,,220,99999
,21,,,221,99999
18,5,20,BB,222,-200
,8,,,223,-200
,10,,,224,-200
,12,,,225,-200
,15,,,226,-100
,18,,,227,-100
,21,,,228,200
21,5,20,BB,236,300
,8,,,237,300
,10,,,238,300
,12,,,239,300
,15,,,240,400
,18,,,241,400
,21,,,242,600
24,5,20,BB,250,700
,8,,,251,700
,10,,,252,700
,12,,,253,700
,15,,,254,800
,18,,,255,800
,21,,,256,1100
27,5,20,BB,264,1200
,8,,,265,1200
,10,,,266,1200
,12,,,267,1200
,15,,,268,1300
,18,,,269,1300
,21,,,270,1700
30,5,20,BB,278,1700
,8,,,279,1700
,10,,,280,1700
,12,,,281,1700
,15,,,282,1800
,18,,,283,1800
,21,,,284,2200
33,5,20,BB,292,2100
,8,,,293,2100
,10,,,294,2100
,12,,,295,2100
,15,,,296,2300
,18,,,297,2300
,21,,,298,2750
36,5,20,BB,313,2600
,8,,,314,2600
,10,,,315,2600
,12,,,316,2600
,15,,,317,2800
,18,,,318,2800
,21,,,319,99999
40,5,20,BB,320,99999
,8,,,321,99999
,10,,,322,99999
,12,,,323,99999
,15,,,324,99999
,18,,,325,99999
,21,,,326,99999
42,5,20,BB,327,99999
,8,,,328,99999
,10,,,329,99999
,12,,,330,99999
,15,,,331,99999
,18,,,332,99999
,21,,,333,99999
45,5,20,BB,334,99999
,8,,,335,99999
,10,,,336,99999
,12,,,337,99999
,15,,,338,99999
,18,,,339,99999
,21,,,340,99999
15,5,40,BB,708,99999
,8,,,709,99999
,10,,,710,99999
,12,,,711,99999
,15,,,712,99999
,18,,,713,99999
,21,,,714,99999
16,5,40,BB,715,99999
,8,,,716,99999
,10,,,717,99999
,12,,,718,99999
,15,,,719,99999
,18,,,720,99999
,21,,,721,99999
18,5,40,BB,722,-200
,8,,,723,-200
,10,,,724,-200
,12,,,725,-200
,15,,,726,-100
,18,,,727,-100
,21,,,728,200
21,5,40,BB,736,300
,8,,,737,300
,10,,,738,300
,12,,,739,300
,15,,,740,400
,18,,,741,400
,21,,,742,600
24,5,40,BB,750,700
,8,,,751,700
,10,,,752,700
,12,,,753,700
,15,,,754,800
,18,,,755,800
,21,,,756,1100
27,5,40,BB,764,1200
,8,,,765,1200
,10,,,766,1200
,12,,,767,1200
,15,,,768,1300
,18,,,769,1300
,21,,,770,1700
30,5,40,BB,778,1700
,8,,,779,1700
,10,,,780,1700
,12,,,781,1700
,15,,,782,1800
,18,,,783,1800
,21,,,784,2200
33,5,40,BB,792,2100
,8,,,793,2100
,10,,,794,2100
,12,,,795,2100
,15,,,796,2300
,18,,,797,2300
,21,,,798,2750
36,5,40,BB,813,2600
,8,,,814,2600
,10,,,815,2600
,12,,,816,2600
,15,,,817,2800
,18,,,818,2800
,21,,,819,99999
